Term,Category,Reasoning,NLD
Post-Salt,Depositional Unit,"The NLD describes it as a tectonostratigraphic sequence composed of a succession of sediments, which is a large-scale, mappable sedimentary geological object.","O Pós-sal é uma sequência tectonoestratigráfica que recobre os evaporitos da idade Aptiana, representando a fase de deriva da margem continental brasileira. É composta por uma sucessão de sedimentos predominantemente siliciclásticos e carbonáticos marinhos. Esta sequência constitui a rocha de sobrecarga do sistema petrolífero Pré-sal, atuando como selo regional e controlando a tectônica de sal."
Porosity,quality,"The NLD defines porosity as a 'petrophysical property' of a rock that quantifies its void space, which aligns with the BFO definition of a quality as a specifically dependent continuant that inheres in a bearer.","Porosidade é a propriedade petrofísica de uma rocha que quantifica o volume de seus espaços vazios, ou poros, em relação ao seu volume total. Nos carbonatos do Pré-Sal, esta propriedade é altamente heterogênea e controlada por processos deposicionais e diagenéticos, como a dissolução que gera poros vugulares e cavernosos. Ela define a capacidade de armazenamento de hidrocarbonetos do reservatório."
Permeability,quality,"The NLD defines permeability as a petrophysical 'property' of a rock that quantifies its capacity to allow fluid flow, which aligns with the BFO definition of a quality that inheres in an independent continuant.","Permeabilidade é uma propriedade petrofísica da rocha que quantifica a capacidade do meio poroso de permitir o escoamento de fluidos através de seus poros interconectados. Nos reservatórios carbonáticos do Pré-Sal, esta propriedade é fortemente controlada pela interconexão de porosidade vugular, fraturas e feições de dissolução que criam caminhos de fluxo preferenciais. Sua magnitude é expressa em unidades de Darcy (D) ou milidarcy (mD)."
Dolomitization,Geological Process,The NLD explicitly defines the term as a 'diagenetic process' that modifies the composition of minerals and generates a new rock type (dolomite).,"Dolomitização é um processo diagenético que consiste na substituição de minerais de carbonato de cálcio, como calcita ou aragonita, pelo mineral dolomita (CaMg(CO₃)₂) através da percolação de fluidos ricos em magnésio. No contexto do Pré-Sal brasileiro, este processo é um dos principais mecanismos responsáveis pela geração de porosidade e permeabilidade, controlando a qualidade dos reservatórios. A sua ocorrência resulta na formação de dolomitos, cujas texturas cristalinas frequentemente formam rochas com excelentes propriedades petrofísicas."
Dissolution,Geological Process,"The NLD explicitly defines dissolution as a 'diagenetic process' that chemically modifies a rock, which aligns with the definition of a Geological Process that modifies a Geological Object.","Dissolução é um processo diagenético que consiste na remoção química de minerais de uma rocha, como os carbonatos, pela ação de fluidos subssaturados em relação a esses minerais. Este processo é um dos principais mecanismos de geração de porosidade secundária, criando ou ampliando o sistema poroso da rocha através da formação de vugos, moldes e canais. No contexto do Pré-Sal brasileiro, a dissolução é frequentemente impulsionada por fluidos ricos em CO₂, que ao percolarem pelas rochas carbonáticas aumentam drasticamente a sua permeabilidade e capacidade de armazenamento."
Fault,Geological Structure,"The NLD describes a fault as a fracture or zone of fracture with displacement, which fits the definition of a Geological Structure as the internal arrangement and configuration of a Geological Object.","Uma falha é uma fratura ou zona de fratura em um volume de rocha ao longo da qual ocorreu um deslocamento relativo dos blocos adjacentes. No sistema petrolífero do Pré-Sal, estas estruturas são fundamentais para a formação das trapas estruturais do tipo horste que abrigam os reservatórios carbonáticos, podendo atuar como condutos ou barreiras para a migração e acumulação de hidrocarbonetos. Adicionalmente, as zonas de dano associadas às falhas podem influenciar significativamente a permeabilidade e a compartimentalização destes reservatórios."
Lacustrine System,Depositional System,"The NLD explicitly defines the term as a 'depositional system' that comprises a body of water and its associated sedimentary deposits, which aligns with the definition of an aggregate of depositional units.","Um Sistema Lacustre é um sistema deposicional continental que compreende um corpo de água represado e seus processos sedimentares associados. No contexto do Pré-Sal brasileiro, este sistema desenvolveu-se em lagos extensos e profundos durante a fase rifte, com águas de alta alcalinidade que favoreceram a precipitação de carbonatos. Este ambiente foi responsável pela deposição tanto de rochas geradoras ricas em matéria orgânica em condições anóxicas, quanto dos reservatórios carbonáticos microbiais e de coquinas."
Carbonate Platform,Depositional System,"The NLD explicitly defines the term as a 'large-scale carbonate depositional system', which directly corresponds to the definition of the Depositional System category.","Plataforma Carbonática é um sistema deposicional carbonático de grande escala que se desenvolve em águas rasas com relevo topográfico positivo em relação às áreas adjacentes. No contexto do Pré-Sal brasileiro, estas plataformas desenvolveram-se em um ambiente lacustre de águas alcalinas, sendo compostas predominantemente por fácies microbianas e precipitados abióticos. Sua complexa arquitetura interna e histórico diagenético controlam a distribuição dos principais reservatórios de hidrocarbonetos da bacia."
Geobody,Sedimentary Geological Object,"The NLD defines it as a three-dimensional geological unit representing carbonate facies (like microbialites and coquinas), which are constituted by sedimentary rock.","Geocorpo é uma unidade geológica tridimensional que representa uma fácies ou associação de fácies carbonáticas com propriedades petrofísicas e sísmicas internamente homogêneas e distintas das rochas circundantes. No contexto do Pré-Sal, estes corpos são frequentemente associados a reservatórios de alta qualidade, como microbialitos e coquinas, e são delimitados e modelados a partir da interpretação de dados sísmicos e de poços."
Facies,Facies,"The NLD defines the term as a characterization of a rock unit by a specific set of attributes, which aligns with the definition of Facies as a visual pattern of properties of Geological Objects.","Fácies é uma unidade de rocha que é caracterizada por um conjunto específico de atributos litológicos, texturais e biogênicos, refletindo um ambiente deposicional particular e controlando diretamente a qualidade do reservatório."
Diagenesis,Geological Process,"The NLD explicitly defines the term as a set of physical, chemical, and biological processes that modify sediment or sedimentary rock after deposition.","Diagênese é o conjunto de processos físicos, químicos e biológicos que modifica um sedimento ou rocha sedimentar após sua deposição, em condições de pressão e temperatura inferiores às do metamorfismo. Nos reservatórios carbonáticos do Pré-Sal, estes processos controlam fundamentalmente a evolução do sistema poroso, sendo os principais responsáveis pela criação (e.g., dissolução) ou destruição (e.g., cimentação) da porosidade e permeabilidade. A interação destes processos determina a qualidade e a heterogeneidade final do reservatório."
Extensional Tectonics,Geological Process,"The NLD describes it as a 'regime of crustal deformation' and a 'forming mechanism' that modifies the lithosphere, which aligns with the definition of a process that generates or modifies geological objects.","Tectônica Extensional é um regime de deformação crustal que é dominado por um campo de esforços no qual o esforço compressivo principal (σ1) é vertical, promovendo o estiramento e o afinamento da litosfera. Este regime foi o mecanismo formador das bacias rifte do Pré-Sal brasileiro, gerando o espaço de acomodação para a deposição de seus sistemas petrolíferos. A arquitetura de falhas normais resultante controlou a localização dos depocentros e a distribuição das fácies geradoras e reservatórios."
Salt Tectonics,Geological Process,The NLD explicitly defines the term as a 'processo geológico' (geological process) involving deformation and flow that modifies the arrangement of geological objects.,"Tectônica Salina é um processo geológico de deformação rúptil e dúctil que resulta do fluxo de espessas camadas de sal em subsuperfície. Este movimento é impulsionado pela baixa densidade e alta ductilidade do sal em resposta ao carregamento diferencial de sedimentos e a esforços tectônicos. No contexto do Pré-Sal brasileiro, este processo é o principal mecanismo responsável pela formação das trapas estruturais e pelo controle da deposição e preservação dos reservatórios carbonáticos."
Spherulite,Sedimentary Geological Object,The NLD defines a spherulite as a 'carbonate grain' which is a geological object constituted by sedimentary material (chemically precipitated carbonate).,Esferulito é um grão carbonático de morfologia esférica a subesférica que é constituído por cristais aciculares de carbonato com arranjo radial. Sua origem está associada à precipitação química primária em sistemas lacustres de alta alcalinidade. É um componente fundamental das rochas reservatório do Pré-Sal brasileiro.
Shrub,Sedimentary Rock,"The NLD defines the term as a type of microbial carbonate, which is a solid, consolidated earth material formed by sedimentary processes.","Shrub é um tipo de carbonato microbial que se caracteriza por uma morfologia macroscópica arborescente ou dendrítica, formado pela precipitação de carbonato mediada por comunidades microbianas em sistemas lacustres. Sua fábrica interna é tipicamente grumosa e sua complexa estrutura de ramificações gera alta porosidade primária do tipo inter e intra-arbustos. Esta fácies constitui um dos mais importantes e prolíficos reservatórios das acumulações de hidrocarbonetos nas bacias do Pré-Sal brasileiro."
Boundstone,Sedimentary Rock,"The NLD explicitly defines the term as a 'depositional carbonate rock' (rocha carbonática deposicional), which is a type of Sedimentary Rock.","Boundstone é uma rocha carbonática deposicional cujo arcabouço original foi construído por organismos que ligaram os componentes entre si durante a deposição. No contexto do Pré-Sal brasileiro, este arcabouço é tipicamente formado pela atividade de microrganismos que precipitam carbonato, gerando as microbialitas, ou pela cimentação precoce de conchas de bivalves em posição de vida. Esta textura indica a formação de um relevo deposicional rígido e resistente à ação de ondas e correntes."
Grainstone,Sedimentary Rock,"The NLD explicitly defines Grainstone as a 'rocha carbonática' (carbonate rock) that is grain-supported, which is a type of rock constituted by a collection of sedimentary grains.","Um grainstone é uma rocha carbonática granulossuportada cuja trama é desprovida de matriz micrítica e cuja porosidade intergranular original é preenchida por cimento esparítico. Sua deposição ocorre em ambientes de alta energia, como barras e praias, onde a ação de ondas e correntes remove as partículas finas. No Pré-Sal brasileiro, os grainstones, incluindo as coquinas, constituem rochas reservatório de excelente qualidade devido à sua alta porosidade e permeabilidade primárias."
Rudstone,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha carbonática' (carbonate rock), a specific type of sedimentary rock constituted by grains, which directly aligns with the category definition.","Rudstone é uma rocha carbonática granossuportada que é constituída por mais de 10% de grãos com diâmetro superior a 2 mm, cujo espaço intersticial é preenchido por matriz carbonática fina (micrita). No contexto do Pré-Sal brasileiro, seus grãos são frequentemente compostos por bioclastos, esferulitos e intraclastos depositados em ambientes lacustres de alta energia, como leques de talude ou shoals. Esta fácies pode constituir importantes reservatórios, cuja qualidade é fortemente controlada pela presença da matriz e por processos diagenéticos de dissolução."
Crystalline Carbonate,Sedimentary Rock,"The NLD explicitly defines the term as a 'carbonate rock' with a framework of interlocked crystals, which fits the definition of a rock constituted by a collection of sedimentary grains or particles.","Carbonato Cristalino é uma rocha carbonática de origem diagenética que apresenta uma trama de cristais intertravados, cuja porosidade intercristalina resultante a qualifica como uma das principais rochas reservatório do Pré-Sal brasileiro. Esta litofácies é tipicamente formada pela recristalização de rochas precursoras, como microbialitos e coquinas, em condições de soterramento. A sua textura e o sistema de poros associado são cruciais para a produtividade dos reservatórios carbonáticos desta província petrolífera."
Vuggy Porosity,quality,"The NLD defines this as a type of porosity, which is an inherent characteristic or property that depends on a rock (its bearer) to exist.","Porosidade vúgular é um tipo de porosidade secundária que se caracteriza pela presença de cavidades, ou vúgulos, significativamente maiores que os poros constituintes da matriz da rocha. Nos reservatórios carbonáticos do Pré-Sal, é formada predominantemente pela dissolução de bioclastos e da matriz, frequentemente associada a processos de carstificação. A conectividade desta porosidade é um fator crítico que controla a permeabilidade e a produtividade do reservatório."
Moldic Porosity,quality,"The NLD defines this term as a type of porosity, which is a measurable characteristic or property that inheres in a rock, fitting the BFO definition of a quality.","Porosidade mórulica é um tipo de porosidade secundária que é formada pela dissolução seletiva de componentes instáveis da rocha, como bioclastos, ooides ou esferulitos. Este processo cria poros que preservam o tamanho e a forma externa do componente precursor dissolvido. No contexto dos reservatórios do Pré-Sal brasileiro, representa um tipo de porosidade expressiva, cuja contribuição para a permeabilidade depende da sua conexão com o sistema poroso intergranular ou intercristalino."
Fracture Porosity,quality,"The NLD defines this term as a type of porosity, which is a physical property or quality that inheres in a rock, specifically related to the void space generated by fractures.","Porosidade por fratura é um tipo de porosidade secundária que é gerada por um sistema de descontinuidades mecânicas na rocha, geralmente induzidas por esforços tectônicos. Nos reservatórios carbonáticos do Pré-Sal, ela é fundamental para a produtividade, pois cria caminhos preferenciais para o fluxo de fluidos. Este sistema de fraturas frequentemente conecta poros da matriz que estariam de outra forma isolados, aumentando significativamente a permeabilidade efetiva do reservatório."
Cementation,Geological Process,The NLD explicitly defines cementation as a 'diagenetic process' that modifies a sediment or rock through chemical precipitation.,"Cimentação é um processo diagenético que consiste na precipitação química de minerais nos espaços porosos de um sedimento ou rocha, unindo os grãos e reduzindo a porosidade e a permeabilidade. Nos reservatórios carbonáticos do Pré-Sal, os principais cimentos incluem carbonatos (calcita e dolomita), sílica e evaporitos, cujo desenvolvimento controla diretamente a qualidade do reservatório."
Horst,Geological Object,"The NLD defines a horst as an 'uplifted basement block,' which is a rigid entity with its own identity and unity, generated by a geological process (rifting).","Um horst é um alto estrutural que consiste em um bloco do embasamento soerguido, delimitado por sistemas de falhas normais de grande rejeito. Esta feição, gerada durante a fase rifte de abertura do Atlântico Sul, condiciona a paleotopografia sobre a qual se depositaram os reservatórios carbonáticos. O horst constitui o principal elemento das trapas estruturais que alojam as grandes acumulações de hidrocarbonetos do Pré-Sal."
Graben,Geological Object,"The NLD defines a Graben as a 'crustal block', which is a rigid entity with its own identity criteria created by a geological process (faulting).","Um Graben é um bloco crustal rebaixado por falhas normais que, no contexto do sistema petrolífero do Pré-Sal, constitui o depocentro sin-rifte onde as rochas geradoras lacustres foram depositadas."
Half-Graben,Geological Object,"The NLD describes it as a sedimentary basin and a structure generated by a tectonic process, which fits the definition of a rigid entity with its own identity created by a Geological Process.","Um semigraben é uma bacia sedimentar de geometria assimétrica que é gerada em um regime tectônico extensional e limitada em uma de suas margens por uma falha normal de grande rejeito. Sua margem oposta é tipicamente uma rampa flexural de baixo ângulo, sobre a qual os estratos sin-rifte se adelgaçam. Esta estrutura constitui o principal depocentro para a acumulação da seção pré-sal nas bacias da margem leste brasileira."
Aptian,Geological Time Interval,"The NLD explicitly defines the term as an 'idade' (age) and an 'intervalo' (interval) within the geological timescale, during which specific geological processes occurred.","O Aptiano é uma idade da época Cretáceo Inferior que, no contexto do Pré-Sal brasileiro, marca a transição da fase rifte para a pós-rifte, englobando a deposição dos principais elementos do sistema petrolífero. Durante este intervalo, desenvolveram-se os reservatórios carbonáticos microbiais e esferulíticos das formações Barra Velha e Macabu, sobrepostos às rochas geradoras lacustres. O final do Aptiano é caracterizado pela deposição da espessa camada de evaporitos que constitui a principal rocha selante regional."
Barremian,Geological Time Interval,"The NLD explicitly defines the term as a 'geological age' ('idade geológica') within the Lower Cretaceous, which corresponds to a specific interval in the geological timescale.","O Barremiano é uma idade geológica do Cretáceo Inferior que, no contexto do Pré-Sal brasileiro, representa o estágio final da fase sin-rift, marcado pela deposição das principais rochas geradoras lacustres do sistema petrolífero. Estas rochas, predominantemente coquinas e folhelhos carbonáticos ricos em matéria orgânica, foram depositadas em um ambiente de lagos salinos a hipersalinos que se desenvolveram durante a separação continental entre a América do Sul e a África."
Lacustrine Shale,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock), which is a consolidated earth material constituted by sedimentary particles.","Folhelho Lacustre é uma rocha sedimentar pelítica que é depositada em ambiente lacustre e se caracteriza por ser rica em matéria orgânica de origem algal. No contexto do Pré-Sal brasileiro, estes folhelhos representam a principal rocha geradora de hidrocarbonetos do sistema petrolífero, tendo sido depositados em condições anóxicas durante a fase sin-rifte. Sua alta qualidade como gerador está associada à preservação de querogênio do tipo I em um ambiente de alta salinidade."
Evaporite,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock), which is a direct match for this category.","Evaporito é uma rocha sedimentar química que é formada pela precipitação de sais minerais, como a halita, a partir da evaporação de um corpo de água confinado e hipersalino. No sistema petrolífero do Pré-Sal brasileiro, a espessa sucessão evaporítica constitui a rocha selante regional, responsável por reter as acumulações de hidrocarbonetos nos reservatórios carbonáticos subjacentes. Sua natureza dúctil origina feições halocinéticas que controlam a geometria e a integridade das trapas estruturais."
Halite,Sedimentary Rock,"The NLD describes Halite as an evaporitic mineral that constitutes the predominant rock of the Aptian salt section, which is a type of sedimentary rock.","Halita é um mineral evaporítico composto por cloreto de sódio (NaCl) que, no contexto do Pré-Sal brasileiro, constitui a rocha predominante da seção salífera aptiana. Esta seção atua como a principal rocha selante regional do sistema petrolífero, possuindo baixíssima permeabilidade. Seu comportamento dúctil sob pressão gera, por halocinese, as trapas estruturais que condicionam as acumulações nos reservatórios carbonáticos subjacentes."
Anhydrite,Earth Material,"The NLD defines anhydrite as a mineral consisting of a specific chemical composition, which fits the definition of Earth Material as a natural amount of matter generated by a geological process.","Anidrita é um mineral evaporítico que consiste em sulfato de cálcio anidro (CaSO₄). No contexto do Pré-Sal brasileiro, ocorre tanto como um componente principal da seção salina selante quanto como cimento diagenético nos reservatórios carbonáticos. Sua precipitação nos poros é um dos principais controles na redução da qualidade do reservatório."
Structural Trap,Geological Structure,"The NLD defines it as a trapping geometry generated by the tectonic deformation of rocks (e.g., faulting, folding), which is a configuration or arrangement of geological objects, fitting the definition of a Geological Structure.","Armadilha Estrutural é uma armadilha geológica que possui uma geometria de aprisionamento de hidrocarbonetos gerada pela deformação tectônica das rochas, como falhamentos e dobramentos. No contexto do Pré-Sal brasileiro, estas armadilhas são tipicamente representadas por grandes blocos falhados e rotacionados (horsts) formados durante a fase rifte, ou por amplos anticlinais relacionados à halocinese. A sua integridade depende da justaposição de rochas reservatório porosas contra rochas selantes impermeáveis, como folhelhos ou a própria camada de sal."
Stratigraphic Trap,Geological Structure,"The NLD defines this term as a geological feature whose closure is controlled by the configuration and variations in rock properties, which fits the definition of a geological structure as the arrangement and mutual relationships of different parts.","Uma armadilha estratigráfica é uma armadilha geológica cujo fechamento é controlado por variações laterais e verticais nas propriedades da rocha, independentemente de deformação tectônica. Tais variações podem ser de origem deposicional, diagenética ou erosiva, criando uma barreira à migração dos fluidos. No Pré-Sal brasileiro, exemplos comuns incluem o acunhamento de fácies de carbonatos microbiais porosos contra lamitos impermeáveis ou zonas cimentadas."
Migration Pathway,object aggregate,"The NLD defines the term as a system of multiple geological features (e.g., fault zones, carrier rocks) that together form a functional unit, which corresponds to the definition of an object aggregate.","Caminho de migração é um sistema de feições geológicas permeáveis, como zonas de falhas e rochas carreadoras, que viabiliza o fluxo predominantemente vertical de hidrocarbonetos desde a rocha geradora da seção sag até os reservatórios carbonáticos trapeados sob a camada de sal."
Oil,Earth Fluid,"The NLD describes oil as a liquid mixture of hydrocarbons, which is a specific example of an Earth Fluid, defined as a natural volume of fluid matter.","Óleo é uma mistura complexa de hidrocarbonetos, líquida em condições de reservatório, que no sistema petrolífero do pré-sal é gerada a partir da maturação térmica de matéria orgânica lacustre e acumulada em rochas reservatório carbonáticas."
Gas,Earth Fluid,"The NLD describes gas as a fluid phase of petroleum found in a reservoir, which directly corresponds to the definition of Earth Fluid as a natural amount of fluid matter like oil or gas.","Gás é uma fase do petróleo que, composta predominantemente por hidrocarbonetos leves como o metano, se encontra no estado gasoso sob as condições de pressão e temperatura do reservatório. Nos sistemas petrolíferos do Pré-Sal, esta fase é frequentemente caracterizada por altas concentrações de CO₂ e associada à geração a partir de rochas-fonte de ambiente lacustre. Sua acumulação pode ocorrer como gás livre, em capa de gás sobre uma coluna de óleo, ou dissolvido no próprio óleo."
Carbon Dioxide,Earth Fluid,"The NLD describes Carbon Dioxide as a gas that occurs dissolved in oil or as a free gas phase within petroleum systems, which aligns with the definition of an Earth Fluid.","Dióxido de Carbono é um gás não-hidrocarboneto que, nos sistemas petrolíferos do Pré-Sal, é gerado predominantemente pela diagênese termal de rochas carbonáticas. Ele ocorre em altas concentrações dissolvido no óleo ou como uma fase gasosa livre, influenciando criticamente as propriedades dos fluidos e os processos diagenéticos do reservatório."
Thermal Maturity,quality,"The NLD defines it as a 'degree of thermochemical alteration,' which is a property or state that inheres in the organic matter of a source rock.","Maturidade Térmica é o grau de alteração termoquímica que a matéria orgânica de uma rocha geradora atinge em função de sua história de soterramento e aquecimento. Este grau determina a fase da geração de hidrocarbonetos, controlando o tipo de fluido—óleo ou gás—encontrado nos reservatórios do Pré-Sal. A avaliação da maturidade térmica é, portanto, um parâmetro fundamental para definir o potencial e o risco exploratório de uma bacia sedimentar."
Acoustic Impedance,quality,"The NLD defines it as a 'physical property of the rock', which corresponds to the BFO category 'quality', a dependent continuant that inheres in some independent continuant (the rock).","Impedância Acústica é uma propriedade física da rocha que quantifica a resistência à propagação de uma onda sísmica, sendo calculada como o produto da densidade pela velocidade da onda P. É o principal atributo derivado da inversão sísmica para a caracterização de reservatórios, permitindo a discriminação de litofácies e a predição de porosidade nos carbonatos do Pré-Sal. Seus contrastes nas interfaces geológicas, como entre o sal e os carbonatos, são os responsáveis por gerar as reflexões sísmicas."
Analog Reservoir,generically dependent continuant,"The NLD describes it as a geological system used as a predictive model because its attributes are comparable to a target, meaning it is valued for the generic pattern it instantiates.","Um Reservatório Análogo é um sistema geológico, aflorante ou de subsuperfície, que possui atributos genéticos, deposicionais e diagenéticos comparáveis aos de um reservatório-alvo, como os carbonatos lacustres do Pré-Sal. Ele é utilizado como um modelo preditivo para inferir a distribuição de fácies e a heterogeneidade petrofísica do reservatório-alvo em áreas com dados diretos limitados. O estudo de análogos é, portanto, uma ferramenta essencial para mitigar os riscos geológicos na exploração e desenvolvimento de campos."
Reservoir Characterization,Geological Process,The NLD explicitly defines the term as a 'multidisciplinary process' that integrates various data to build a predictive model of a reservoir.,"Caracterização de Reservatórios é o processo multidisciplinar que integra dados geofísicos, geológicos e de engenharia para construir um modelo preditivo da distribuição espacial de propriedades petrofísicas e heterogeneidades. Este modelo é fundamental para estimar volumes e prever a produtividade de reservatórios carbonáticos complexos, como as coquinas e microbialitos do Pré-Sal."
Reservoir Heterogeneity,Facies,"The NLD describes the term as the 'spatial variation of petrophysical and geological properties,' which is consistent with the definition of Facies as a 'visual pattern of properties of Geological Objects'.","Heterogeneidade de Reservatório é a variação espacial das propriedades petrofísicas e geológicas de uma rocha-reservatório em múltiplas escalas. No contexto do Pré-Sal brasileiro, esta variação é controlada pela complexa interação entre as fácies deposicionais carbonáticas, a intensa sobreposição diagenética e a deformação estrutural. Essa condição impacta diretamente a capacidade de armazenamento e o fluxo de fluidos, governando a produtividade e o fator de recuperação do reservatório."
Stromatolite,Sedimentary Rock,"The NLD defines the term as an 'organo-sedimentary carbonate rock', which is a direct instance of the Sedimentary Rock category.","Estromatólito é uma rocha carbonática organossedimentar que apresenta uma estrutura laminada gerada pela atividade de esteiras microbianas e que, nos sistemas lacustres do Pré-Sal, constitui uma importante fácies reservatório."
Thrombolite,Sedimentary Geological Object,"The NLD defines a thrombolite as a microbialite formed by carbonate precipitation, which is a specific type of geological body constituted by sedimentary rock.","Trombolito é um microbialito que se caracteriza por uma fábrica interna macroscópica grumosa ou coagulada, em contraste com a estrutura laminada dos estromatólitos. Nos sistemas petrolíferos do Pré-Sal brasileiro, representa uma fácies reservatório fundamental nos carbonatos lacustres, frequentemente desenvolvendo um sistema poroso complexo de alta qualidade. Sua formação está associada à precipitação de carbonato mediada pela atividade microbiana em ambientes aquáticos de alta alcalinidade."
Laminite,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock), which is a rock constituted by sedimentary particles.","Laminita é uma rocha sedimentar carbonática, finamente laminada e rica em matéria orgânica, que no contexto do Pré-Sal brasileiro constitui a principal rocha geradora de hidrocarbonetos. Sua gênese está associada à deposição em ambiente lacustre estratificado, com significativa contribuição microbial e precipitação química de carbonatos. Esta fácies é fundamental para o sistema petrolífero por sua capacidade de gerar e, em zonas fraturadas, também armazenar óleo."
