Term,NLD
Post-Salt,"O Pós-sal é uma sequência tectonoestratigráfica que recobre os evaporitos da idade Aptiana, representando a fase de deriva da margem continental brasileira. É composta por uma sucessão de sedimentos predominantemente siliciclásticos e carbonáticos marinhos. Esta sequência constitui a rocha de sobrecarga do sistema petrolífero Pré-sal, atuando como selo regional e controlando a tectônica de sal."
Porosity,"Porosidade é a propriedade petrofísica de uma rocha que quantifica o volume de seus espaços vazios, ou poros, em relação ao seu volume total. Nos carbonatos do Pré-Sal, esta propriedade é altamente heterogênea e controlada por processos deposicionais e diagenéticos, como a dissolução que gera poros vugulares e cavernosos. Ela define a capacidade de armazenamento de hidrocarbonetos do reservatório."
Permeability,"Permeabilidade é uma propriedade petrofísica da rocha que quantifica a capacidade do meio poroso de permitir o escoamento de fluidos através de seus poros interconectados. Nos reservatórios carbonáticos do Pré-Sal, esta propriedade é fortemente controlada pela interconexão de porosidade vugular, fraturas e feições de dissolução que criam caminhos de fluxo preferenciais. Sua magnitude é expressa em unidades de Darcy (D) ou milidarcy (mD)."
Dolomitization,"Dolomitização é um processo diagenético que consiste na substituição de minerais de carbonato de cálcio, como calcita ou aragonita, pelo mineral dolomita (CaMg(CO₃)₂) através da percolação de fluidos ricos em magnésio. No contexto do Pré-Sal brasileiro, este processo é um dos principais mecanismos responsáveis pela geração de porosidade e permeabilidade, controlando a qualidade dos reservatórios. A sua ocorrência resulta na formação de dolomitos, cujas texturas cristalinas frequentemente formam rochas com excelentes propriedades petrofísicas."
Dissolution,"Dissolução é um processo diagenético que consiste na remoção química de minerais de uma rocha, como os carbonatos, pela ação de fluidos subssaturados em relação a esses minerais. Este processo é um dos principais mecanismos de geração de porosidade secundária, criando ou ampliando o sistema poroso da rocha através da formação de vugos, moldes e canais. No contexto do Pré-Sal brasileiro, a dissolução é frequentemente impulsionada por fluidos ricos em CO₂, que ao percolarem pelas rochas carbonáticas aumentam drasticamente a sua permeabilidade e capacidade de armazenamento."
Fault,"Uma falha é uma fratura ou zona de fratura em um volume de rocha ao longo da qual ocorreu um deslocamento relativo dos blocos adjacentes. No sistema petrolífero do Pré-Sal, estas estruturas são fundamentais para a formação das trapas estruturais do tipo horste que abrigam os reservatórios carbonáticos, podendo atuar como condutos ou barreiras para a migração e acumulação de hidrocarbonetos. Adicionalmente, as zonas de dano associadas às falhas podem influenciar significativamente a permeabilidade e a compartimentalização destes reservatórios."
Lacustrine System,"Um Sistema Lacustre é um sistema deposicional continental que compreende um corpo de água represado e seus processos sedimentares associados. No contexto do Pré-Sal brasileiro, este sistema desenvolveu-se em lagos extensos e profundos durante a fase rifte, com águas de alta alcalinidade que favoreceram a precipitação de carbonatos. Este ambiente foi responsável pela deposição tanto de rochas geradoras ricas em matéria orgânica em condições anóxicas, quanto dos reservatórios carbonáticos microbiais e de coquinas."
Carbonate Platform,"Plataforma Carbonática é um sistema deposicional carbonático de grande escala que se desenvolve em águas rasas com relevo topográfico positivo em relação às áreas adjacentes. No contexto do Pré-Sal brasileiro, estas plataformas desenvolveram-se em um ambiente lacustre de águas alcalinas, sendo compostas predominantemente por fácies microbianas e precipitados abióticos. Sua complexa arquitetura interna e histórico diagenético controlam a distribuição dos principais reservatórios de hidrocarbonetos da bacia."
Geobody,"Geocorpo é uma unidade geológica tridimensional que representa uma fácies ou associação de fácies carbonáticas com propriedades petrofísicas e sísmicas internamente homogêneas e distintas das rochas circundantes. No contexto do Pré-Sal, estes corpos são frequentemente associados a reservatórios de alta qualidade, como microbialitos e coquinas, e são delimitados e modelados a partir da interpretação de dados sísmicos e de poços."
Facies,"Fácies é uma unidade de rocha que é caracterizada por um conjunto específico de atributos litológicos, texturais e biogênicos, refletindo um ambiente deposicional particular e controlando diretamente a qualidade do reservatório."
Diagenesis,"Diagênese é o conjunto de processos físicos, químicos e biológicos que modifica um sedimento ou rocha sedimentar após sua deposição, em condições de pressão e temperatura inferiores às do metamorfismo. Nos reservatórios carbonáticos do Pré-Sal, estes processos controlam fundamentalmente a evolução do sistema poroso, sendo os principais responsáveis pela criação (e.g., dissolução) ou destruição (e.g., cimentação) da porosidade e permeabilidade. A interação destes processos determina a qualidade e a heterogeneidade final do reservatório."
Extensional Tectonics,"Tectônica Extensional é um regime de deformação crustal que é dominado por um campo de esforços no qual o esforço compressivo principal (σ1) é vertical, promovendo o estiramento e o afinamento da litosfera. Este regime foi o mecanismo formador das bacias rifte do Pré-Sal brasileiro, gerando o espaço de acomodação para a deposição de seus sistemas petrolíferos. A arquitetura de falhas normais resultante controlou a localização dos depocentros e a distribuição das fácies geradoras e reservatórios."
Salt Tectonics,"Tectônica Salina é um processo geológico de deformação rúptil e dúctil que resulta do fluxo de espessas camadas de sal em subsuperfície. Este movimento é impulsionado pela baixa densidade e alta ductilidade do sal em resposta ao carregamento diferencial de sedimentos e a esforços tectônicos. No contexto do Pré-Sal brasileiro, este processo é o principal mecanismo responsável pela formação das trapas estruturais e pelo controle da deposição e preservação dos reservatórios carbonáticos."
Spherulite,Esferulito é um grão carbonático de morfologia esférica a subesférica que é constituído por cristais aciculares de carbonato com arranjo radial. Sua origem está associada à precipitação química primária em sistemas lacustres de alta alcalinidade. É um componente fundamental das rochas reservatório do Pré-Sal brasileiro.
Shrub,"Shrub é um tipo de carbonato microbial que se caracteriza por uma morfologia macroscópica arborescente ou dendrítica, formado pela precipitação de carbonato mediada por comunidades microbianas em sistemas lacustres. Sua fábrica interna é tipicamente grumosa e sua complexa estrutura de ramificações gera alta porosidade primária do tipo inter e intra-arbustos. Esta fácies constitui um dos mais importantes e prolíficos reservatórios das acumulações de hidrocarbonetos nas bacias do Pré-Sal brasileiro."
Boundstone,"Boundstone é uma rocha carbonática deposicional cujo arcabouço original foi construído por organismos que ligaram os componentes entre si durante a deposição. No contexto do Pré-Sal brasileiro, este arcabouço é tipicamente formado pela atividade de microrganismos que precipitam carbonato, gerando as microbialitas, ou pela cimentação precoce de conchas de bivalves em posição de vida. Esta textura indica a formação de um relevo deposicional rígido e resistente à ação de ondas e correntes."
Grainstone,"Um grainstone é uma rocha carbonática granulossuportada cuja trama é desprovida de matriz micrítica e cuja porosidade intergranular original é preenchida por cimento esparítico. Sua deposição ocorre em ambientes de alta energia, como barras e praias, onde a ação de ondas e correntes remove as partículas finas. No Pré-Sal brasileiro, os grainstones, incluindo as coquinas, constituem rochas reservatório de excelente qualidade devido à sua alta porosidade e permeabilidade primárias."
Rudstone,"Rudstone é uma rocha carbonática granossuportada que é constituída por mais de 10% de grãos com diâmetro superior a 2 mm, cujo espaço intersticial é preenchido por matriz carbonática fina (micrita). No contexto do Pré-Sal brasileiro, seus grãos são frequentemente compostos por bioclastos, esferulitos e intraclastos depositados em ambientes lacustres de alta energia, como leques de talude ou shoals. Esta fácies pode constituir importantes reservatórios, cuja qualidade é fortemente controlada pela presença da matriz e por processos diagenéticos de dissolução."
Crystalline Carbonate,"Carbonato Cristalino é uma rocha carbonática de origem diagenética que apresenta uma trama de cristais intertravados, cuja porosidade intercristalina resultante a qualifica como uma das principais rochas reservatório do Pré-Sal brasileiro. Esta litofácies é tipicamente formada pela recristalização de rochas precursoras, como microbialitos e coquinas, em condições de soterramento. A sua textura e o sistema de poros associado são cruciais para a produtividade dos reservatórios carbonáticos desta província petrolífera."
Vuggy Porosity,"Porosidade vúgular é um tipo de porosidade secundária que se caracteriza pela presença de cavidades, ou vúgulos, significativamente maiores que os poros constituintes da matriz da rocha. Nos reservatórios carbonáticos do Pré-Sal, é formada predominantemente pela dissolução de bioclastos e da matriz, frequentemente associada a processos de carstificação. A conectividade desta porosidade é um fator crítico que controla a permeabilidade e a produtividade do reservatório."
Moldic Porosity,"Porosidade mórulica é um tipo de porosidade secundária que é formada pela dissolução seletiva de componentes instáveis da rocha, como bioclastos, ooides ou esferulitos. Este processo cria poros que preservam o tamanho e a forma externa do componente precursor dissolvido. No contexto dos reservatórios do Pré-Sal brasileiro, representa um tipo de porosidade expressiva, cuja contribuição para a permeabilidade depende da sua conexão com o sistema poroso intergranular ou intercristalino."
Fracture Porosity,"Porosidade por fratura é um tipo de porosidade secundária que é gerada por um sistema de descontinuidades mecânicas na rocha, geralmente induzidas por esforços tectônicos. Nos reservatórios carbonáticos do Pré-Sal, ela é fundamental para a produtividade, pois cria caminhos preferenciais para o fluxo de fluidos. Este sistema de fraturas frequentemente conecta poros da matriz que estariam de outra forma isolados, aumentando significativamente a permeabilidade efetiva do reservatório."
Cementation,"Cimentação é um processo diagenético que consiste na precipitação química de minerais nos espaços porosos de um sedimento ou rocha, unindo os grãos e reduzindo a porosidade e a permeabilidade. Nos reservatórios carbonáticos do Pré-Sal, os principais cimentos incluem carbonatos (calcita e dolomita), sílica e evaporitos, cujo desenvolvimento controla diretamente a qualidade do reservatório."
Horst,"Um horst é um alto estrutural que consiste em um bloco do embasamento soerguido, delimitado por sistemas de falhas normais de grande rejeito. Esta feição, gerada durante a fase rifte de abertura do Atlântico Sul, condiciona a paleotopografia sobre a qual se depositaram os reservatórios carbonáticos. O horst constitui o principal elemento das trapas estruturais que alojam as grandes acumulações de hidrocarbonetos do Pré-Sal."
Graben,"Um Graben é um bloco crustal rebaixado por falhas normais que, no contexto do sistema petrolífero do Pré-Sal, constitui o depocentro sin-rifte onde as rochas geradoras lacustres foram depositadas."
Half-Graben,"Um semigraben é uma bacia sedimentar de geometria assimétrica que é gerada em um regime tectônico extensional e limitada em uma de suas margens por uma falha normal de grande rejeito. Sua margem oposta é tipicamente uma rampa flexural de baixo ângulo, sobre a qual os estratos sin-rifte se adelgaçam. Esta estrutura constitui o principal depocentro para a acumulação da seção pré-sal nas bacias da margem leste brasileira."
Aptian,"O Aptiano é uma idade da época Cretáceo Inferior que, no contexto do Pré-Sal brasileiro, marca a transição da fase rifte para a pós-rifte, englobando a deposição dos principais elementos do sistema petrolífero. Durante este intervalo, desenvolveram-se os reservatórios carbonáticos microbiais e esferulíticos das formações Barra Velha e Macabu, sobrepostos às rochas geradoras lacustres. O final do Aptiano é caracterizado pela deposição da espessa camada de evaporitos que constitui a principal rocha selante regional."
Barremian,"O Barremiano é uma idade geológica do Cretáceo Inferior que, no contexto do Pré-Sal brasileiro, representa o estágio final da fase sin-rift, marcado pela deposição das principais rochas geradoras lacustres do sistema petrolífero. Estas rochas, predominantemente coquinas e folhelhos carbonáticos ricos em matéria orgânica, foram depositadas em um ambiente de lagos salinos a hipersalinos que se desenvolveram durante a separação continental entre a América do Sul e a África."
Lacustrine Shale,"Folhelho Lacustre é uma rocha sedimentar pelítica que é depositada em ambiente lacustre e se caracteriza por ser rica em matéria orgânica de origem algal. No contexto do Pré-Sal brasileiro, estes folhelhos representam a principal rocha geradora de hidrocarbonetos do sistema petrolífero, tendo sido depositados em condições anóxicas durante a fase sin-rifte. Sua alta qualidade como gerador está associada à preservação de querogênio do tipo I em um ambiente de alta salinidade."
Evaporite,"Evaporito é uma rocha sedimentar química que é formada pela precipitação de sais minerais, como a halita, a partir da evaporação de um corpo de água confinado e hipersalino. No sistema petrolífero do Pré-Sal brasileiro, a espessa sucessão evaporítica constitui a rocha selante regional, responsável por reter as acumulações de hidrocarbonetos nos reservatórios carbonáticos subjacentes. Sua natureza dúctil origina feições halocinéticas que controlam a geometria e a integridade das trapas estruturais."
Halite,"Halita é um mineral evaporítico composto por cloreto de sódio (NaCl) que, no contexto do Pré-Sal brasileiro, constitui a rocha predominante da seção salífera aptiana. Esta seção atua como a principal rocha selante regional do sistema petrolífero, possuindo baixíssima permeabilidade. Seu comportamento dúctil sob pressão gera, por halocinese, as trapas estruturais que condicionam as acumulações nos reservatórios carbonáticos subjacentes."
Anhydrite,"Anidrita é um mineral evaporítico que consiste em sulfato de cálcio anidro (CaSO₄). No contexto do Pré-Sal brasileiro, ocorre tanto como um componente principal da seção salina selante quanto como cimento diagenético nos reservatórios carbonáticos. Sua precipitação nos poros é um dos principais controles na redução da qualidade do reservatório."
Structural Trap,"Armadilha Estrutural é uma armadilha geológica que possui uma geometria de aprisionamento de hidrocarbonetos gerada pela deformação tectônica das rochas, como falhamentos e dobramentos. No contexto do Pré-Sal brasileiro, estas armadilhas são tipicamente representadas por grandes blocos falhados e rotacionados (horsts) formados durante a fase rifte, ou por amplos anticlinais relacionados à halocinese. A sua integridade depende da justaposição de rochas reservatório porosas contra rochas selantes impermeáveis, como folhelhos ou a própria camada de sal."
Stratigraphic Trap,"Uma armadilha estratigráfica é uma armadilha geológica cujo fechamento é controlado por variações laterais e verticais nas propriedades da rocha, independentemente de deformação tectônica. Tais variações podem ser de origem deposicional, diagenética ou erosiva, criando uma barreira à migração dos fluidos. No Pré-Sal brasileiro, exemplos comuns incluem o acunhamento de fácies de carbonatos microbiais porosos contra lamitos impermeáveis ou zonas cimentadas."
Migration Pathway,"Caminho de migração é um sistema de feições geológicas permeáveis, como zonas de falhas e rochas carreadoras, que viabiliza o fluxo predominantemente vertical de hidrocarbonetos desde a rocha geradora da seção sag até os reservatórios carbonáticos trapeados sob a camada de sal."
Oil,"Óleo é uma mistura complexa de hidrocarbonetos, líquida em condições de reservatório, que no sistema petrolífero do pré-sal é gerada a partir da maturação térmica de matéria orgânica lacustre e acumulada em rochas reservatório carbonáticas."
Gas,"Gás é uma fase do petróleo que, composta predominantemente por hidrocarbonetos leves como o metano, se encontra no estado gasoso sob as condições de pressão e temperatura do reservatório. Nos sistemas petrolíferos do Pré-Sal, esta fase é frequentemente caracterizada por altas concentrações de CO₂ e associada à geração a partir de rochas-fonte de ambiente lacustre. Sua acumulação pode ocorrer como gás livre, em capa de gás sobre uma coluna de óleo, ou dissolvido no próprio óleo."
Carbon Dioxide,"Dióxido de Carbono é um gás não-hidrocarboneto que, nos sistemas petrolíferos do Pré-Sal, é gerado predominantemente pela diagênese termal de rochas carbonáticas. Ele ocorre em altas concentrações dissolvido no óleo ou como uma fase gasosa livre, influenciando criticamente as propriedades dos fluidos e os processos diagenéticos do reservatório."
Thermal Maturity,"Maturidade Térmica é o grau de alteração termoquímica que a matéria orgânica de uma rocha geradora atinge em função de sua história de soterramento e aquecimento. Este grau determina a fase da geração de hidrocarbonetos, controlando o tipo de fluido—óleo ou gás—encontrado nos reservatórios do Pré-Sal. A avaliação da maturidade térmica é, portanto, um parâmetro fundamental para definir o potencial e o risco exploratório de uma bacia sedimentar."
Acoustic Impedance,"Impedância Acústica é uma propriedade física da rocha que quantifica a resistência à propagação de uma onda sísmica, sendo calculada como o produto da densidade pela velocidade da onda P. É o principal atributo derivado da inversão sísmica para a caracterização de reservatórios, permitindo a discriminação de litofácies e a predição de porosidade nos carbonatos do Pré-Sal. Seus contrastes nas interfaces geológicas, como entre o sal e os carbonatos, são os responsáveis por gerar as reflexões sísmicas."
Analog Reservoir,"Um Reservatório Análogo é um sistema geológico, aflorante ou de subsuperfície, que possui atributos genéticos, deposicionais e diagenéticos comparáveis aos de um reservatório-alvo, como os carbonatos lacustres do Pré-Sal. Ele é utilizado como um modelo preditivo para inferir a distribuição de fácies e a heterogeneidade petrofísica do reservatório-alvo em áreas com dados diretos limitados. O estudo de análogos é, portanto, uma ferramenta essencial para mitigar os riscos geológicos na exploração e desenvolvimento de campos."
Reservoir Characterization,"Caracterização de Reservatórios é o processo multidisciplinar que integra dados geofísicos, geológicos e de engenharia para construir um modelo preditivo da distribuição espacial de propriedades petrofísicas e heterogeneidades. Este modelo é fundamental para estimar volumes e prever a produtividade de reservatórios carbonáticos complexos, como as coquinas e microbialitos do Pré-Sal."
Reservoir Heterogeneity,"Heterogeneidade de Reservatório é a variação espacial das propriedades petrofísicas e geológicas de uma rocha-reservatório em múltiplas escalas. No contexto do Pré-Sal brasileiro, esta variação é controlada pela complexa interação entre as fácies deposicionais carbonáticas, a intensa sobreposição diagenética e a deformação estrutural. Essa condição impacta diretamente a capacidade de armazenamento e o fluxo de fluidos, governando a produtividade e o fator de recuperação do reservatório."
Stromatolite,"Estromatólito é uma rocha carbonática organossedimentar que apresenta uma estrutura laminada gerada pela atividade de esteiras microbianas e que, nos sistemas lacustres do Pré-Sal, constitui uma importante fácies reservatório."
Thrombolite,"Trombolito é um microbialito que se caracteriza por uma fábrica interna macroscópica grumosa ou coagulada, em contraste com a estrutura laminada dos estromatólitos. Nos sistemas petrolíferos do Pré-Sal brasileiro, representa uma fácies reservatório fundamental nos carbonatos lacustres, frequentemente desenvolvendo um sistema poroso complexo de alta qualidade. Sua formação está associada à precipitação de carbonato mediada pela atividade microbiana em ambientes aquáticos de alta alcalinidade."
Laminite,"Laminita é uma rocha sedimentar carbonática, finamente laminada e rica em matéria orgânica, que no contexto do Pré-Sal brasileiro constitui a principal rocha geradora de hidrocarbonetos. Sua gênese está associada à deposição em ambiente lacustre estratificado, com significativa contribuição microbial e precipitação química de carbonatos. Esta fácies é fundamental para o sistema petrolífero por sua capacidade de gerar e, em zonas fraturadas, também armazenar óleo."
Travertine,"Travertino é uma rocha carbonática de origem química que se forma pela precipitação de fluidos hidrotermais que ascendem através de falhas em sistemas lacustres alcalinos da fase rifte. Sua deposição resulta em fácies com texturas arbustivas e cristalinas, frequentemente com alta porosidade primária. No Pré-Sal brasileiro, constitui um importante tipo de reservatório de hidrocarbonetos devido à sua excelente qualidade petrofísica original."
Calcite,"Calcita é um mineral do grupo dos carbonatos que possui a fórmula química CaCO₃. No contexto do Pré-Sal brasileiro, este mineral é o principal constituinte das rochas reservatório, formando o arcabouço de fácies como coquinas, microbialitos e esferulitos. Sua precipitação e dissolução durante a diagênese controlam fundamentalmente a qualidade e a heterogeneidade destes reservatórios."
Dolomite,"Dolomita é uma rocha carbonática composta predominantemente pelo mineral dolomita [CaMg(CO₃)₂], cuja gênese está comumente associada a processos diagenéticos de substituição. No sistema petrolífero do Pré-Sal brasileiro, o processo de dolomitização é fundamental para a geração de porosidade secundária intercristalina e vugular. Consequentemente, a dolomita constitui os reservatórios de maior produtividade e excepcional qualidade das bacias de Santos e Campos."
Magnesite,"Magnesita é um mineral carbonático de magnésio (MgCO₃) que, nos reservatórios do Pré-Sal, representa uma fase autigênica ou diagenética formada em ambientes lacustres alcalinos e hipersalinos. Sua ocorrência, frequentemente associada a argilominerais magnesianos como a estevensita, é um importante indicador paleoambiental e impacta diretamente as propriedades petrofísicas da rocha."
Serpentinite,"Serpentinita é uma rocha metamórfica que resulta da alteração hidrotermal de rochas ultramáficas do manto, como peridotitos. No Pré-Sal brasileiro, compõe rochas do embasamento exumado que funcionam como importantes reservatórios de hidrocarbonetos. A sua capacidade de armazenamento e fluxo de fluidos é controlada por um sistema de porosidade secundária, desenvolvido por fraturamento tectônico e dissolução."
Igneous Rock,"Rocha Ígnea é uma rocha que resulta da solidificação de material magmático, ocorrendo no Pré-Sal brasileiro principalmente como intrusões (diques e soleiras) e derrames vulcânicos de composição básica associados ao rifteamento do Atlântico Sul. Estes corpos impactam diretamente o sistema petrolífero, podendo compartimentar reservatórios, alterar a maturação térmica das rochas geradoras ou modificar as propriedades petrofísicas das rochas encaixantes."
Volcanic Rock,"Rocha Vulcânica é uma rocha ígnea, de composição tipicamente máfica, resultante da atividade magmática associada à fase rifte que deu origem às bacias do Pré-Sal. No contexto do sistema petrolífero, ocorre como derrames ou corpos intrusivos que podem constituir o embasamento econômico, compartimentar os reservatórios carbonáticos ou atuar como rocha selante."
Basement,"Embasamento é um complexo de rochas ígneas e metamórficas que constitui o substrato crustal sobre o qual se depositaram as sequências sedimentares de uma bacia. No contexto do Pré-Sal brasileiro, este domínio geológico pré-rifte define a arquitetura estrutural dos grabens onde se acumularam os reservatórios carbonáticos. Sua composição é predominantemente gnáissica e granítica, com idades que remontam ao Neoproterozoico."
Unconformity,"Discordância é uma superfície de erosão ou não deposição que separa estratos rochosos de idades distintas, representando um hiato significativo no registro geológico. No contexto do Pré-Sal brasileiro, a discordância pré-aptiana constitui o topo dos reservatórios carbonáticos da fase rifte, representando uma superfície de exposição subaérea que antecede a deposição da seção salífera. Este evento erosivo foi fundamental para o desenvolvimento de porosidade secundária por carstificação, controlando a qualidade e a heterogeneidade dos reservatórios."
Diapir,"Diápiro é uma estrutura geológica intrusiva que resulta da ascensão de uma massa de sal móvel e de baixa densidade através de camadas sedimentares sobrejacentes. No contexto do Pré-Sal brasileiro, estes corpos são formados pelo sal da Bacia de Santos, cujo movimento (halocinese) deforma a seção pós-sal. Sua geometria complexa é um elemento chave na formação de trapas estruturais e estratigráficas para hidrocarbonetos nos reservatórios carbonáticos subjacentes."
Salt Weld,"Uma sutura de sal é uma superfície de descontinuidade que resulta da evacuação tectônica completa de uma camada de sal, promovendo o contato direto entre as seções sub-sal e supra-sal. No contexto do Pré-Sal brasileiro, esta feição é crítica para a análise de risco exploratório, pois pode funcionar como uma via de migração de hidrocarbonetos ou como uma barreira ao fluxo, dependendo da justaposição das litologias."
Minibasin,"Minibacia é um depocentro sedimentar localizado que é formado pela subsidência do substrato em resposta à movimentação de sal (halocinese). No contexto do Pré-Sal brasileiro, seu preenchimento por sedimentos pós-sal atua como sobrecarga, influenciando a maturação das rochas geradoras e a geometria dos reservatórios carbonáticos adjacentes. A evolução destas feições delimita os altos estruturais que constituem as principais trapas para as acumulações de hidrocarbonetos."
Turtle Structure,"Uma Estrutura Tartaruga é uma armadilha estrutural anticlinal que se forma pela inversão tectônica de um depocentro associado à retirada de sal (halocinese). Sua geometria final é um anticlinal de baixo relevo e grande amplitude, cujo núcleo é composto por sedimentos sin-cinemáticos espessos que foram soerguidos em relação às suas bordas. No contexto do Pré-Sal brasileiro, estas feições constituem as principais trapas para as gigantescas acumulações de óleo e gás nos reservatórios carbonáticos."
Normal Fault,"Falha Normal é uma falha de mergulho que se forma sob um regime de esforços tectônicos extensionais, na qual o bloco teto se move para baixo em relação ao bloco lapa. No contexto do Pré-Sal brasileiro, estas estruturas são fundamentais na arquitetura dos rifes que deram origem às bacias, controlando a formação de horsts e grabens. Consequentemente, elas governam tanto a geometria deposicional dos reservatórios carbonáticos quanto a configuração das trapas estruturais do sistema petrolífero."
Listric Fault,"Uma falha lístrica é uma falha normal cujo plano possui uma geometria côncava para cima, com mergulho que diminui progressivamente em profundidade até se tornar sub-horizontal em uma superfície de descolamento. No contexto do Pré-Sal brasileiro, estas falhas são feições extensionais da fase rifte que geram anticlinais de rollover no bloco baixo, formando as principais trapas estruturais para os reservatórios carbonáticos. Frequentemente, elas se descolam na camada de sal aptiana, que atua como selante regional e controla a compartimentação e a migração de fluidos no sistema petrolífero."
Detachment Fault,"Uma Falha de Descolamento é uma falha normal de baixo ângulo e escala crustal que acomoda a extensão tectônica durante a fase rifte, separando a crosta superior, com deformação rúptil, da crosta inferior, com comportamento dúctil. Sua geometria foi fundamental para gerar o espaço de acomodação onde se depositaram as rochas geradoras e os reservatórios carbonáticos do Pré-Sal. A rotação dos blocos em seu teto formou os altos estruturais que constituem as principais trapas do sistema petrolífero."
Transfer Zone,"Uma Zona de Transferência é uma zona estrutural de deformação que acomoda e transfere o deslocamento entre dois segmentos principais e não colineares de falhas normais em um sistema rifte. No contexto do Pré-Sal brasileiro, estas zonas controlam a geometria dos depocentros e a formação de altos estruturais que servem como trapas para hidrocarbonetos. Elas também influenciam diretamente a distribuição e a qualidade dos reservatórios carbonáticos depositados durante a fase sin-rifte."
High-Energy Facies,"Fácies de Alta Energia é uma fácies sedimentar, tipicamente carbonática no Pré-Sal, que se forma sob condições de elevada energia hidrodinâmica, como a ação de ondas e correntes. Sua textura é caracterizada pela predominância de grãos bem selecionados, como oólitos, esferulitos ou bioclastos, com escassa ou ausente matriz micrítica devido ao intenso retrabalhamento do sedimento. Essas fácies, a exemplo dos grainstones e coquinas, constituem os principais reservatórios por apresentarem elevada porosidade e permeabilidade primárias."
Low-Energy Facies,"Fácies de baixa energia é uma unidade de rocha sedimentar que é depositada em ambientes com mínima energia hidrodinâmica, resultando na predominância de sedimentos de granulação fina. No contexto do Pré-Sal, estas fácies correspondem tipicamente a laminitos microbianos e carbonatos argilosos (mudstones) formados nas porções mais profundas ou protegidas do sistema lacustre. Elas podem atuar como rochas geradoras e selantes de alta qualidade ou, quando afetadas por diagênese favorável, como importantes reservatórios."
